timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638530848655,107,GET_login_page_${thread_name}-2,200,OK,admin_login_TG 1-1,text,true,,57574,288,3,6,http://192.168.64.2/my_view_page.php,106,0,0
1638530848763,231,POST_login,200,OK,admin_login_TG 1-1,text,true,,63897,988,3,6,http://192.168.64.2/my_view_page.php,55,0,0
1638530848763,55,POST_login-0,302,Found,admin_login_TG 1-1,text,true,,5646,419,3,6,http://192.168.64.2/login_password_page.php,55,0,0
1638530848819,62,POST_login-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,62,0,0
1638530848881,113,POST_login-2,200,OK,admin_login_TG 1-1,text,true,,57574,288,3,6,http://192.168.64.2/my_view_page.php,112,0,0
1638530848994,191,POST_login_password_2,200,OK,admin_login_TG 1-1,text,true,,14263,1042,3,6,http://192.168.64.2/account_page.php,59,0,0
1638530848994,59,POST_login_password_2-0,302,Found,admin_login_TG 1-1,text,true,,878,437,3,6,http://192.168.64.2/login.php,59,0,0
1638530849053,51,POST_login_password_2-1,302,Found,admin_login_TG 1-1,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,51,0,0
1638530849104,81,POST_login_password_2-2,200,OK,admin_login_TG 1-1,text,true,,12708,288,3,6,http://192.168.64.2/account_page.php,62,0,0
1638530849187,231,GET_login_page_${thread_name},200,OK,admin_login_TG 1-1,text,true,,63494,855,3,6,http://192.168.64.2/my_view_page.php,66,0,0
1638530849187,66,GET_login_page_${thread_name}-0,302,Found,admin_login_TG 1-1,text,true,,5243,286,3,6,http://192.168.64.2/login_page.php,66,0,0
1638530849253,56,GET_login_page_${thread_name}-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,56,0,0
1638530849309,109,GET_login_page_${thread_name}-2,200,OK,admin_login_TG 1-1,text,true,,57574,288,3,6,http://192.168.64.2/my_view_page.php,108,0,0
1638530849418,231,POST_login,200,OK,admin_login_TG 1-1,text,true,,63896,988,3,6,http://192.168.64.2/my_view_page.php,59,0,0
1638530849418,59,POST_login-0,302,Found,admin_login_TG 1-1,text,true,,5646,419,3,6,http://192.168.64.2/login_password_page.php,59,0,0
1638530849477,59,POST_login-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,59,0,0
1638530849537,112,POST_login-2,200,OK,admin_login_TG 1-1,text,true,,57573,288,3,6,http://192.168.64.2/my_view_page.php,111,0,0
1638530849649,188,POST_login_password_1,200,OK,admin_login_TG 1-1,text,true,,14263,1042,3,6,http://192.168.64.2/account_page.php,61,0,0
1638530849649,61,POST_login_password_1-0,302,Found,admin_login_TG 1-1,text,true,,878,437,3,6,http://192.168.64.2/login.php,61,0,0
1638530849710,56,POST_login_password_1-1,302,Found,admin_login_TG 1-1,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,56,0,0
1638530849766,71,POST_login_password_1-2,200,OK,admin_login_TG 1-1,text,true,,12708,288,3,6,http://192.168.64.2/account_page.php,68,0,0
1638530849837,229,GET_login_page_${thread_name},200,OK,admin_login_TG 1-1,text,true,,63494,855,3,6,http://192.168.64.2/my_view_page.php,64,0,0
1638530849837,64,GET_login_page_${thread_name}-0,302,Found,admin_login_TG 1-1,text,true,,5243,286,3,6,http://192.168.64.2/login_page.php,64,0,0
1638530849901,58,GET_login_page_${thread_name}-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,58,0,0
1638530849959,107,GET_login_page_${thread_name}-2,200,OK,admin_login_TG 1-1,text,true,,57574,288,3,6,http://192.168.64.2/my_view_page.php,106,0,0
1638530850066,220,POST_login,200,OK,admin_login_TG 1-1,text,true,,63896,988,3,6,http://192.168.64.2/my_view_page.php,57,0,0
1638530850066,57,POST_login-0,302,Found,admin_login_TG 1-1,text,true,,5646,419,3,6,http://192.168.64.2/login_password_page.php,57,0,0
1638530850123,54,POST_login-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,54,0,0
1638530850177,109,POST_login-2,200,OK,admin_login_TG 1-1,text,true,,57573,288,3,6,http://192.168.64.2/my_view_page.php,108,0,0
1638530850285,172,POST_login_password_2,200,OK,admin_login_TG 1-1,text,true,,14263,1042,3,6,http://192.168.64.2/account_page.php,63,0,0
1638530850285,63,POST_login_password_2-0,302,Found,admin_login_TG 1-1,text,true,,878,437,3,6,http://192.168.64.2/login.php,63,0,0
1638530850348,52,POST_login_password_2-1,302,Found,admin_login_TG 1-1,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,52,0,0
1638530850400,57,POST_login_password_2-2,200,OK,admin_login_TG 1-1,text,true,,12708,288,3,6,http://192.168.64.2/account_page.php,55,0,0
1638530850784,142,POST_login,200,OK,create_issue_TG 2-3,text,true,,5622,307,3,6,http://192.168.64.2/login_password_page.php,142,0,0
1638530850784,259,POST_login_password_2,200,OK,admin_login_TG 1-3,text,true,,14263,930,3,6,http://192.168.64.2/account_page.php,132,0,0
1638530850784,132,POST_login_password_2-0,302,Found,admin_login_TG 1-3,text,true,,878,325,3,6,http://192.168.64.2/login.php,132,0,0
1638530850916,59,POST_login_password_2-1,302,Found,admin_login_TG 1-3,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,59,0,0
1638530850975,68,POST_login_password_2-2,200,OK,admin_login_TG 1-3,text,true,,12708,288,3,6,http://192.168.64.2/account_page.php,62,0,0
1638530851043,220,GET_login_page_${thread_name},200,OK,admin_login_TG 1-3,text,true,,63486,855,3,6,http://192.168.64.2/my_view_page.php,59,0,0
1638530851043,59,GET_login_page_${thread_name}-0,302,Found,admin_login_TG 1-3,text,true,,5243,286,3,6,http://192.168.64.2/login_page.php,59,0,0
1638530851102,57,GET_login_page_${thread_name}-1,302,Found,admin_login_TG 1-3,text,true,,677,281,3,6,http://192.168.64.2/index.php,57,0,0
1638530851159,104,GET_login_page_${thread_name}-2,200,OK,admin_login_TG 1-3,text,true,,57566,288,3,6,http://192.168.64.2/my_view_page.php,103,0,0
1638530851264,219,POST_login,200,OK,admin_login_TG 1-3,text,true,,63896,988,3,6,http://192.168.64.2/my_view_page.php,59,0,0
1638530851264,59,POST_login-0,302,Found,admin_login_TG 1-3,text,true,,5646,419,3,6,http://192.168.64.2/login_password_page.php,59,0,0
1638530851323,53,POST_login-1,302,Found,admin_login_TG 1-3,text,true,,677,281,3,6,http://192.168.64.2/index.php,53,0,0
1638530851377,106,POST_login-2,200,OK,admin_login_TG 1-3,text,true,,57573,288,3,6,http://192.168.64.2/my_view_page.php,105,0,0
1638530851832,408,POST_login_password_2,200,OK,create_issue_TG 2-1,text,true,,14264,930,3,6,http://192.168.64.2/account_page.php,154,0,8
1638530851832,154,POST_login_password_2-0,302,Found,create_issue_TG 2-1,text,true,,879,325,3,6,http://192.168.64.2/login.php,154,0,8
1638530851986,126,POST_login_password_2-1,302,Found,create_issue_TG 2-1,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,126,0,0
